expected_return,volatility,sharpe,alpha_capm_mvo,alpha_hrp,alpha_mpt,alpha_risk_parity,w_SPY,w_EEM,w_VIG,w_GLD,w_BTC,w_LATAM,w_CORP,frontier_rank,frontier_pct
0.19994715082819542,0.08188997519704463,2.0884073765578797,0.04120690289503751,0.23423047678533815,0.49393936216630363,0.23062325815332071,0.03097552269266246,0.027504823928137526,0.02377218877529116,0.10749991327816218,0.025579801491602504,0.5359494802329657,0.2487182696011784,31,0.31
0.20266457120088693,0.08250673030138463,2.1057318355206434,0.04448352905316602,0.2707677441203863,0.5184958267490759,0.16625290007737165,0.02832406828851309,0.02427263863082638,0.01981599145306972,0.10459228864419519,0.025076900408189256,0.5415122761384289,0.2564058364367773,32,0.32
0.20651433290744278,0.08376722321875292,2.1200035470095533,0.032102324848962485,0.2580143484848386,0.5334597636356955,0.17642356303050347,0.024758966071909295,0.02234913562534411,0.019260243727280253,0.10728556725442741,0.025394856023102187,0.5375538908650775,0.26339734043285923,33,0.33
0.20752693249820142,0.08434604763855917,2.1174603308384103,0.028679658675776647,0.23214489044502626,0.5300007586531387,0.2091746922260583,0.025488099248312194,0.023577542962793453,0.021056201152113204,0.10989878330033247,0.025906980905828,0.5305133033325645,0.2635590890980561,34,0.34
0.20866692660162972,0.08498082460231081,2.115058366192844,0.0294304146488842,0.21450529069677834,0.5295058684333133,0.22655842622102426,0.026710987507191124,0.024707868949508785,0.022228418062163524,0.11149926313631375,0.02631888599682082,0.5241854616900176,0.26434911465798444,35,0.35
0.20881690231981398,0.08558925622961439,2.1017752424050813,0.04838490970712468,0.20663272557097723,0.5260586771914902,0.21892368753040786,0.032518969975987244,0.027926960793875213,0.023450939601529077,0.11063287824718493,0.02670418048809626,0.5157618688313182,0.26300420206200903,36,0.36
0.20972238648740674,0.08573415206590118,2.108784650810913,0.018351384508389357,0.161025779870966,0.5177950763356417,0.302827759285003,0.027406813060952016,0.02700760746683431,0.02615939057697323,0.11706510393821573,0.027270027878762166,0.5121477452600331,0.2629433118182294,37,0.37
0.20989431172680806,0.08599266759416771,2.1044444163578455,0.05493253740123247,0.21872767449101138,0.534575080772339,0.19176470733541726,0.03310395413808894,0.027566145269549973,0.02225291568181194,0.10925135580121786,0.026613128406894965,0.5156269683858511,0.26558553231658527,38,0.38
0.21103053960491736,0.08629057315439789,2.110346592767888,0.03876241964781319,0.19516461825376738,0.5335089133670544,0.2325640487313651,0.030089962450066756,0.026793630322098028,0.023410924688012008,0.11273373038794221,0.026936198505314264,0.5131837414377725,0.26685181220879434,39,0.39
0.21214087856316174,0.08684399718457199,2.1096835929054216,0.029704708707116993,0.16428559504313495,0.5293267860062503,0.2766829102434978,0.029610750563378807,0.027594879205215406,0.02543208885937674,0.11624440753646648,0.027482507724194923,0.5065037584967839,0.2671316076145838,40,0.4
0.2133671300098905,0.08696162159139828,2.120931096661939,0.037809219343002944,0.2086110012561863,0.5490216840436412,0.2045580953571696,0.028132426153960128,0.02488990042722604,0.021445814560011166,0.11205168980872277,0.02680237625259661,0.5143551464329487,0.27232264636453457,41,0.41
0.21361211702809718,0.08744488833446919,2.1120113249061383,0.043414209176098804,0.1863310547116766,0.5423823971906822,0.2278723389215424,0.03131020666185054,0.027337414940478953,0.023466642040390458,0.1135031433150422,0.0273093433735517,0.5062638542508401,0.27080939541784604,42,0.42
0.21415156235027233,0.08761916037714826,2.1139672988470517,0.05587635335036172,0.21381037242727924,0.552938500417196,0.1773747738051628,0.032518007365387104,0.026768758253702757,0.021300337336743365,0.11026022152555535,0.026963713766639582,0.5089856939912245,0.2732032677607472,43,0.43
0.21687452661854645,0.0877453294693791,2.1419602068231973,0.028925925992151432,0.23805646852218992,0.5759697033563606,0.15704790212929798,0.02242443318875208,0.020267055740702308,0.017462569815225034,0.1108599171352197,0.026335514629347523,0.5210137846493849,0.2816367248413684,44,0.44
0.2173699278510524,0.08896771770436981,2.118098678406933,0.05767221463314793,0.20255159980680765,0.5642499304687785,0.17552625509126593,0.0329486880213851,0.026906025385059356,0.021266230508018177,0.11156777413287401,0.02738584792166762,0.5015874991243451,0.2783379349066507,45,0.45
0.21890445822008453,0.08898582538946768,2.1349123282057514,0.03426225359235641,0.2025404709866561,0.5734074954502486,0.18978977997073904,0.02602256286783634,0.023159630549561577,0.020029755247973652,0.11372736361366373,0.0271951942254808,0.5073486551359863,0.2825168383594977,46,0.46
0.21952876114409828,0.08982460755108354,2.1219267612737096,0.04177543253322863,0.16372516270083287,0.5629570438935594,0.23154236087237925,0.030878203885796162,0.02704778671217511,0.023414851565842058,0.11647154697836237,0.028062931125170998,0.49374794147910195,0.28037673825355147,47,0.47
0.22031966957119292,0.08989931818980029,2.128961051813206,0.04417137186680858,0.18761315807937667,0.574346496579307,0.19386897347450774,0.029497826155739135,0.025274139005166493,0.021162063284696952,0.11439393932994106,0.027680362393489213,0.4984637939034912,0.2835278759274759,48,0.48
0.2212856091324992,0.0899840978239832,2.1376897832350656,0.04012596390705626,0.20424573428247433,0.5847045039680979,0.17092379784237144,0.02683436523723969,0.023112044788413697,0.019278026090643288,0.11348065408881138,0.027369751804153814,0.5031062055702105,0.28681895242052763,49,0.49
