scenario_id,base_model,annual_return_oos,annual_volatility_oos,sharpe_oos,max_drawdown_oos,total_return_oos
88,risk_parity,0.17459351446279547,0.05676496136929061,2.25591725713795,-0.015491881677043629,0.32526673625511915
88,hrp,0.0735959363631622,0.023969551481569984,1.503333622694624,-0.008644658777178793,0.13232606184005147
89,mpt,0.730369279509369,0.18288642503714692,2.918633975543885,-0.024107184032522988,1.6106153861217263
89,capm_mvo,1.7606022591581638,0.3919922701174017,2.7574090997601544,-0.03887485159461157,4.912303479275646
89,risk_parity,0.17074216223180883,0.04588126847257308,2.5627469303518557,-0.01202712492254343,0.3176716534639703
89,hrp,0.07478206491576489,0.02476994696970252,1.232801974842632,-0.008393612492661018,0.13451624447212152
90,mpt,0.11973549080634749,0.03977522572800645,2.2404128822704426,-0.01398700023561894,0.2188549529469006
90,capm_mvo,0.00904887560103873,0.15410610184897933,-0.03187400396659952,-0.21099474081387326,0.015889227056406607
90,risk_parity,0.01624860896349345,0.05249932254963891,-0.14880643032077906,-0.07178776205931692,0.028608093612764618
90,hrp,0.008161917859279777,0.016673312826474395,-1.0192245828875597,-0.01935384935381035,0.014327043937210515
91,mpt,0.3998484151937167,0.23198468511154458,1.4500460701289128,-0.09800750038468364,0.8015311150822289
91,capm_mvo,0.05825696026232241,0.13909430893839936,0.27677473848685685,-0.13811025896573004,0.10416628909966019
91,risk_parity,0.10450986013690988,0.06957289619017011,1.0712426569209403,-0.049936527503810946,0.18999954454414292
91,hrp,0.057069510551625235,0.03226429657468493,0.8851194209532639,-0.008427660350787902,0.10199901507062736
92,mpt,1.294383445590754,0.36374694027636234,2.4441670171782,-0.0352203184599611,3.277258527704875
92,capm_mvo,-0.005861706341234396,0.10755144366952775,-0.2525787731037157,-0.09119132242855532,-0.01023542657423826
92,risk_parity,0.2886016997282028,0.15910254367582116,1.515430354654378,-0.0343538309678878,0.5585032948679778
92,hrp,0.04328157334920579,0.02385740824343155,0.6656629322031964,-0.014405346341357372,0.07696772775237681
93,mpt,0.5742155328037537,0.09020206409604564,4.802507908522743,-0.0045581274372927805,1.2123933185375284
93,capm_mvo,0.6115097200670421,0.10217520089313613,4.488216456217513,-0.014163897732143993,1.3049293942151774
93,risk_parity,0.1423765875485985,0.05920592385188324,1.7315356904133496,-0.016573386670816648,0.2623107021394664
93,hrp,0.07142166892808155,0.04063641936516796,0.9101185759789107,-0.013500267837253666,0.12831599469045663
94,mpt,0.22568978750999213,0.06437764337689154,2.694966812404206,-0.015868351415157078,0.4277954486124458
94,capm_mvo,0.19460294734061256,0.06798853381706026,2.171869529422862,-0.04610519011778058,0.36502708363675107
94,risk_parity,0.17858074818914216,0.0539510142006279,2.4675373565096326,-0.01953224390900221,0.333149486640659
94,hrp,0.10019412832234442,0.0401979303562617,1.565967675813202,-0.0038799531949006427,0.18187437064094913
95,mpt,0.8054627604560127,0.221436838006585,2.6788172477573937,-0.03887485159461124,1.8120946644626592
95,capm_mvo,0.8054627604560203,0.22143683800658684,2.67881724775739,-0.03887485159461146,1.81209466446268
95,risk_parity,0.11247467988227555,0.06145582373335945,1.2366225846617809,-0.02547395538026942,0.2050574070340878
95,hrp,0.045314871269764856,0.024740615837014413,0.47855237603811523,-0.01138732929392472,0.08064357500573949
96,mpt,0.30033321526915047,0.08092187875881574,2.8177838663683192,-0.010517268850241734,0.5834182576599942
96,capm_mvo,0.21585728532344128,0.07357165474137248,2.162914986611904,-0.023343885812558085,0.40781164238654344
96,risk_parity,0.24457664821958747,0.061031511599380445,2.9831551849587172,-0.015665770549832425,0.46651964234074605
96,hrp,0.12158827045962961,0.03565952655945462,2.115681651393319,-0.01994430998892882,0.22238652248335167
97,mpt,0.42583941913766843,0.23185977648387754,1.5730913193148672,-0.0633789689474592,0.8604738923623361
97,capm_mvo,-0.013767660855266928,0.1086879005380902,-0.24147396900340426,-0.17369484548343994,-0.023968871970661998
97,risk_parity,0.029326110970300023,0.060327505894199565,0.20872778811423476,-0.07190525758646527,0.05188371603700892
97,hrp,0.010911743178924738,0.017958997767340203,-0.39279435988050476,-0.01467454204646601,0.019173616907019353
98,mpt,0.12272837599255237,0.08689326968947243,1.2163579533694264,-0.037517553687765104,0.22456184522310263
98,capm_mvo,0.15367742569668152,0.115011710616881,1.1830490269845237,-0.11832153939516443,0.2842444301344227
98,risk_parity,0.1396299345989782,0.07070957584936395,1.6925758703484066,-0.05503909019797626,0.25700421664564166
98,hrp,0.033955659498807744,0.01744720485771513,1.1172306921739619,-0.0075114776684637174,0.060176933057261905
99,mpt,0.6514514004352643,0.3193962276004538,1.6346009814322886,-0.10287842687400384,1.4058311618634778
99,capm_mvo,0.04167332385889111,0.12013781336126513,0.1265970524827167,-0.13602228809984263,0.07406409648299217
99,risk_parity,0.21487252896393882,0.1462765264530861,1.1855772740417796,-0.10511654322418884,0.40581685386847854
99,hrp,0.05884068323336389,0.036382040880543066,0.694752515417698,-0.022598884059895852,0.10523234014842342
100,mpt,0.2646747459883583,0.06380996696463877,3.2517191395091265,-0.025358824196161978,0.5082140459762197
100,capm_mvo,0.07947367524366533,0.09239051264532595,0.5332081713822139,-0.08145052200963443,0.14319705676221783
100,risk_parity,0.10436771930248101,0.0625248977649936,1.1195407383260028,-0.04843009550795685,0.1897315579015575
100,hrp,0.02783405454593546,0.018854686260598393,-0.2061601341674137,-0.0091949644721111,0.0492168458811586
101,mpt,0.29726456700651416,0.0762252373098694,3.250959484753174,-0.007230064988787199,0.5768848226889138
101,capm_mvo,0.13149831902475717,0.08013008575872568,1.3638110859610733,-0.057304393368332596,0.24135028395784475
101,risk_parity,0.10472482968639918,0.046143869143894005,1.799726101489018,-0.02156669500514763,0.19040488867456307
101,hrp,0.017478090415168568,0.01178619731069737,-0.04791504562746197,-0.008614930476896432,0.03078684145932109
102,mpt,0.3242161708743463,0.06688969419293166,4.048654184007112,-0.007380225887242076,0.6346623212468534
102,capm_mvo,0.3124225386147279,0.06941507948662184,3.771715726393066,-0.013671324512935512,0.6092700920154073
102,risk_parity,0.026970740456699227,0.026949467340947345,0.43083922083772364,-0.02568688845531042,0.04767510174238421
102,hrp,0.0010297319193195431,0.007562759723215854,-1.8935233588203366,-0.010091960973144465,0.001802726652377018
103,mpt,0.2395079916897911,0.07484134104056124,2.6693970531534137,-0.016632860950653083,0.45608366444931625
103,capm_mvo,0.2884411027913034,0.11335221560504435,2.141029635304177,-0.04297916469603735,0.5581634004491258
103,risk_parity,0.12903778177536118,0.042852138699601174,2.412720299430883,-0.011366509321261709,0.2366301528132786
103,hrp,0.0269786062488373,0.011664296766494067,0.6223165406613509,-0.004215729782119704,0.04768914443256578
104,mpt,0.5251712228469119,0.10716108118314284,3.71304909496121,0.0,1.0931847119354243
104,capm_mvo,0.07201578112149254,0.07010693922121373,0.5015381433505208,-0.02595233904363825,0.1294111283502004
104,risk_parity,0.09632284300814109,0.03788173203668445,1.4802086263505514,-0.011821091066765543,0.17460625862169143
104,hrp,0.048047837998853815,0.02881702632192448,0.36411404581535867,-0.01969623368834794,0.08559275485560636
105,mpt,0.254406431619538,0.055558593505251025,3.4177027040853236,0.0,0.4868493801153988
105,capm_mvo,0.3833210322633671,0.10913006317000316,2.692736249097878,0.0,0.7644738043541486
105,risk_parity,0.1372374042010558,0.04340888497596758,2.069448214228801,-0.013677481729495566,0.2523896991518215
105,hrp,0.052766726310537804,0.02904016391661026,0.3987312597654079,-0.018605682113722155,0.09416108065429518
106,mpt,0.442779205421195,0.09327291944613522,3.689051657213946,0.0,0.8993271659171436
106,capm_mvo,0.4823689400427589,0.09805786469825914,3.798014182417348,0.0,0.9914689370563232
106,risk_parity,0.17625342641838593,0.053031852425252816,2.5019702068996996,-0.010323248036398835,0.328545943490977
106,hrp,0.03738006764171753,0.019262124007806268,0.2519703198053185,-0.007613939203852005,0.06632925293993397
107,mpt,0.3476789076264666,0.16371576220438583,1.7207792519357554,-0.06601661488029675,0.6856843500194492
107,capm_mvo,0.48184579483224654,0.2709823594973241,1.4703853293390075,-0.10221084609979747,0.9902391779378008
107,risk_parity,0.16164002711488878,0.08064282205781981,1.5076242715740096,-0.05369182617733992,0.29979614472789473
107,hrp,0.061605411880176764,0.034763121297126075,0.8134417192887986,-0.007909992461777149,0.11028754161981746
108,mpt,0.47174195629144977,0.2364752579141556,1.612710939263632,-0.10022707049679946,0.9665519521705213
108,capm_mvo,0.05266898364244055,0.0832946247615787,0.23575519737979905,-0.10016153949165085,0.09398331157207473
108,risk_parity,0.08808255645686613,0.0565733362320233,0.903175313900805,-0.04378696648091507,0.15919963034940543
108,hrp,0.04934646801570808,0.03855997737935096,0.3588887378801661,-0.01570316438975561,0.08794786404629118
109,mpt,0.15307848262010681,0.04835711218449168,2.613257228550487,-0.011706886168871389,0.283077882892107
109,capm_mvo,0.08507973796915258,0.09889922496213173,0.6932983491562674,-0.10921758579636343,0.15360703074073756
109,risk_parity,0.07585613378294198,0.054172606065282125,1.0470711591522255,-0.0501167880814537,0.13650107391390587
109,hrp,0.01674169297037209,0.013323723045928191,-0.09822039880727793,-0.011101019322530381,0.029481643974296867
110,mpt,0.37662048442833074,0.1214458005576403,2.483396519130479,-0.047491028296618554,0.7495441176766964
110,capm_mvo,0.8812025091541644,0.2517074524542697,2.5696577911950222,-0.10221084609979758,2.021775608851344
110,risk_parity,0.07374954807148937,0.0695399194729386,0.6433004014673737,-0.045572463858712275,0.13260960313165038
110,hrp,0.027804741642213804,0.01958676786815004,-0.06547745547648817,-0.009194718864323215,0.049164481678176664
111,mpt,0.28834788409018897,0.17650956226789505,1.4534458391914786,-0.06614449706057257,0.5579661228649702
111,capm_mvo,0.41164744293908995,0.2595412110993443,1.4055549763031545,-0.10221084609979758,0.8281883206652461
111,risk_parity,0.14210311764360717,0.08039724209487835,1.5375837449799954,-0.05994632718050896,0.26178193364630586
111,hrp,0.03322364279712442,0.018499128113440247,1.0731584914128254,-0.00768235206157819,0.058863765480072994
112,mpt,0.14919266600593706,0.06301391609080138,1.818742419886269,-0.02906084813926446,0.2755206089109996
112,capm_mvo,0.010391190190560229,0.08279828750131164,-0.16311016674340362,-0.11771990290692069,0.01825538146903649
112,risk_parity,0.10950693249076515,0.08508241510483094,0.9480283268550352,-0.07851907377319067,0.199437258350462
112,hrp,0.049147967774296974,0.03390545316082629,0.6338344170408097,-0.020815532286898253,0.0875877355749084
113,mpt,0.8620766016223094,0.3095693258699745,2.105502979056001,-0.09836759059889322,1.9682173552393936
113,capm_mvo,0.9938990504030529,0.3719301983288827,1.9909719569276862,-0.10221084609983921,2.345650273277016
113,risk_parity,0.18419641878087178,0.08312216996321996,1.7641483051697262,-0.049512502369863265,0.3442856136109884
113,hrp,0.06334189686158265,0.03143920632472388,1.1191922833962293,-0.007511122088320943,0.11346769230413667
114,mpt,0.4715928205163753,0.2274488609813879,1.7009395528306772,-0.028150461179635267,0.9662032319473723
114,capm_mvo,0.20167841297389133,0.13620987653235936,1.2238803801202893,-0.07304404108300044,0.3792070048120688
114,risk_parity,0.10607126289445601,0.05156855912091754,1.4608486650724313,-0.015524346086958074,0.1929450533810737
114,hrp,0.02921739221875641,0.023851487866102236,0.08192927136756151,-0.01978538393313045,0.05168929643689735
115,mpt,0.1748106027487184,0.10413869483554561,1.3801322939444784,-0.04239953248927941,0.32569540343667236
115,capm_mvo,0.025179310393460996,0.14861976420709885,0.08146870814603539,-0.13025815217791725,0.04447898794256422
